Date,Cloud Provider,Service,Department,Project,Region,Environment,Cost,Usage,Unit,Cost Center,Year,Month,Quarter,Month-Year,Optimization Status,Potential Savings
1/1/2023,AWS,EBS,Engineering,API Services,us-west-2,Production,186.13,1405.72,units,ENG-177,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Engineering,API Services,eu-west-1,Development,61.23,218.93,units,ENG-151,2023,1,1,2023-01,Right-sizing Opportunity,16.53
1/1/2023,AWS,Data Transfer,Engineering,API Services,us-east-1,Production,158.93,2853.37,units,ENG-871,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Engineering,API Services,eu-west-1,Production,143.2,1248.06,units,ENG-510,2023,1,1,2023-01,Reserved Instance Candidate,53.74
1/1/2023,AWS,ElastiCache,Engineering,API Services,us-east-1,Production,282.34,1402.52,units,ENG-902,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Engineering,API Services,eu-west-1,Staging,91.03,247.4,units,ENG-902,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Engineering,API Services,ap-southeast-1,Development,59.68,695.2,units,ENG-403,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Engineering,DevOps,us-east-1,Production,806.69,8066.91,instance-hours,ENG-853,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Engineering,DevOps,us-west-2,Development,195.62,1956.23,instance-hours,ENG-158,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Engineering,DevOps,eu-west-1,Production,1185.27,11852.68,instance-hours,ENG-973,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Engineering,DevOps,ap-southeast-1,Production,1393.65,13936.53,instance-hours,ENG-620,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,DevOps,us-east-1,Production,194.96,8476.55,GB-month,ENG-709,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,DevOps,us-west-2,Development,41.52,1805.38,GB-month,ENG-513,2023,1,1,2023-01,Right-sizing Opportunity,14.44
1/1/2023,AWS,S3,Engineering,DevOps,eu-west-1,Development,33.58,1460.12,GB-month,ENG-352,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,DevOps,ap-southeast-1,Production,164.04,7132.11,GB-month,ENG-183,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Engineering,DevOps,us-east-1,Staging,193.52,727.09,units,ENG-367,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Engineering,DevOps,us-west-2,Development,138.4,1090.1,units,ENG-505,2023,1,1,2023-01,Right-sizing Opportunity,30.92
1/1/2023,AWS,RDS,Engineering,DevOps,eu-west-1,Staging,170.64,729.09,units,ENG-869,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,DevOps,us-east-1,Staging,60.44,302179712.4,requests,ENG-676,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,DevOps,eu-west-1,Production,164.54,822720357.2,requests,ENG-371,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,DevOps,ap-southeast-1,Production,106.66,533278070.6,requests,ENG-170,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Engineering,DevOps,us-west-2,Production,117.55,280.87,units,ENG-820,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Engineering,DevOps,eu-west-1,Testing,22.39,55.22,units,ENG-641,2023,1,1,2023-01,Right-sizing Opportunity,8.91
1/1/2023,AWS,CloudFront,Engineering,DevOps,ap-southeast-1,Development,21.37,136.38,units,ENG-779,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Engineering,DevOps,us-east-1,Development,75.49,540.83,units,ENG-209,2023,1,1,2023-01,Right-sizing Opportunity,21.51
1/1/2023,AWS,EBS,Engineering,DevOps,eu-west-1,Production,136.86,1208.96,units,ENG-451,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Engineering,DevOps,ap-southeast-1,Staging,100.43,720.68,units,ENG-600,2023,1,1,2023-01,Potential Waste,78
1/1/2023,AWS,Data Transfer,Engineering,DevOps,us-east-1,Testing,27.66,792.66,units,ENG-749,2023,1,1,2023-01,Reserved Instance Candidate,10.04
1/1/2023,AWS,Data Transfer,Engineering,DevOps,us-west-2,Production,163.57,13935.74,units,ENG-889,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Engineering,DevOps,eu-west-1,Testing,27.7,310.57,units,ENG-552,2023,1,1,2023-01,Right-sizing Opportunity,9.25
1/1/2023,AWS,Data Transfer,Engineering,DevOps,ap-southeast-1,Production,72.55,4922.27,units,ENG-177,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Engineering,DevOps,eu-west-1,Production,240.51,1259.77,units,ENG-665,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Engineering,DevOps,ap-southeast-1,Production,269.53,1673.61,units,ENG-915,2023,1,1,2023-01,Reserved Instance Candidate,81.27
1/1/2023,AWS,EC2,Data Science,ML Models,us-west-2,Production,1556.13,15561.31,instance-hours,DAT-798,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Data Science,ML Models,eu-west-1,Production,910.5,9104.97,instance-hours,DAT-898,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Data Science,ML Models,ap-southeast-1,Development,163.33,1633.26,instance-hours,DAT-735,2023,1,1,2023-01,Right-sizing Opportunity,64.31
1/1/2023,AWS,S3,Data Science,ML Models,eu-west-1,Production,193.99,8434.21,GB-month,DAT-919,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Data Science,ML Models,us-west-2,Development,130.79,757.02,units,DAT-521,2023,1,1,2023-01,Right-sizing Opportunity,49.28
1/1/2023,AWS,Lambda,Data Science,ML Models,us-west-2,Development,32.53,162653188.8,requests,DAT-210,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Data Science,ML Models,eu-west-1,Production,113.29,566443941.4,requests,DAT-581,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Data Science,ML Models,ap-southeast-1,Development,34.65,173262877.4,requests,DAT-571,2023,1,1,2023-01,Right-sizing Opportunity,10.54
1/1/2023,AWS,CloudFront,Data Science,ML Models,us-east-1,Development,22.09,50.55,units,DAT-328,2023,1,1,2023-01,Right-sizing Opportunity,4.55
1/1/2023,AWS,CloudFront,Data Science,ML Models,us-west-2,Production,133.92,783.86,units,DAT-985,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Data Science,ML Models,eu-west-1,Development,17.78,97.65,units,DAT-621,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Data Science,ML Models,ap-southeast-1,Testing,14.85,54.44,units,DAT-128,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Data Science,ML Models,us-east-1,Testing,39.74,407.63,units,DAT-371,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Data Science,ML Models,us-west-2,Staging,61,340.07,units,DAT-905,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Data Science,ML Models,eu-west-1,Staging,91.36,350.57,units,DAT-494,2023,1,1,2023-01,Potential Waste,63.96
1/1/2023,AWS,Data Transfer,Data Science,ML Models,us-east-1,Production,193.76,866.28,units,DAT-632,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Data Science,ML Models,eu-west-1,Development,35.99,96.35,units,DAT-786,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Data Science,ML Models,ap-southeast-1,Production,167.04,351.71,units,DAT-438,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Data Science,ML Models,eu-west-1,Testing,27.05,104.66,units,DAT-782,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Data Science,ML Models,ap-southeast-1,Production,230.4,1487.68,units,DAT-230,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Data Science,Analytics Pipeline,us-east-1,Staging,290.18,2901.83,instance-hours,DAT-488,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Data Science,Analytics Pipeline,us-east-1,Staging,54.31,2361.22,GB-month,DAT-100,2023,1,1,2023-01,Potential Waste,33.96
1/1/2023,AWS,S3,Data Science,Analytics Pipeline,us-west-2,Production,208.67,9072.59,GB-month,DAT-904,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Data Science,Analytics Pipeline,eu-west-1,Staging,69.91,3039.78,GB-month,DAT-576,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Data Science,Analytics Pipeline,ap-southeast-1,Staging,89.09,3873.48,GB-month,DAT-623,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Data Science,Analytics Pipeline,us-east-1,Testing,88.51,221.24,units,DAT-273,2023,1,1,2023-01,Reserved Instance Candidate,31.78
1/1/2023,AWS,RDS,Data Science,Analytics Pipeline,eu-west-1,Staging,179.16,571.61,units,DAT-195,2023,1,1,2023-01,Potential Waste,130.42
1/1/2023,AWS,Lambda,Data Science,Analytics Pipeline,eu-west-1,Production,139.47,697346799.2,requests,DAT-125,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Data Science,Analytics Pipeline,ap-southeast-1,Testing,5.01,25065491.34,requests,DAT-725,2023,1,1,2023-01,Right-sizing Opportunity,1.53
1/1/2023,AWS,CloudFront,Data Science,Analytics Pipeline,us-west-2,Production,107.1,336.17,units,DAT-299,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Data Science,Analytics Pipeline,ap-southeast-1,Production,109.44,1329.56,units,DAT-804,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Data Science,Analytics Pipeline,us-east-1,Development,85.83,221.59,units,DAT-209,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Data Science,Analytics Pipeline,eu-west-1,Development,55.29,157.52,units,DAT-575,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Data Science,Analytics Pipeline,ap-southeast-1,Production,304.84,716.11,units,DAT-567,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Data Science,Analytics Pipeline,us-east-1,Production,177.82,657.96,units,DAT-672,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Data Science,Analytics Pipeline,us-west-2,Testing,17.5,39.17,units,DAT-727,2023,1,1,2023-01,Right-sizing Opportunity,3.73
1/1/2023,AWS,ElastiCache,Data Science,Analytics Pipeline,us-east-1,Testing,46.36,202.89,units,DAT-262,2023,1,1,2023-01,Right-sizing Opportunity,11.12
1/1/2023,AWS,ElastiCache,Data Science,Analytics Pipeline,eu-west-1,Production,289.39,2206.63,units,DAT-752,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Data Science,Analytics Pipeline,ap-southeast-1,Development,58.27,235.49,units,DAT-344,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Data Science,Data Lake,us-east-1,Production,783.99,7839.95,instance-hours,DAT-392,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Data Science,Data Lake,us-west-2,Production,1531.84,15318.41,instance-hours,DAT-653,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Data Science,Data Lake,eu-west-1,Production,624.71,6247.14,instance-hours,DAT-492,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Data Science,Data Lake,us-west-2,Production,240.93,10475.36,GB-month,DAT-655,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Data Science,Data Lake,eu-west-1,Production,310.09,13482.1,GB-month,DAT-952,2023,1,1,2023-01,Reserved Instance Candidate,110.46
1/1/2023,AWS,S3,Data Science,Data Lake,ap-southeast-1,Testing,25.94,1127.66,GB-month,DAT-698,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Data Science,Data Lake,us-west-2,Development,105.23,360.27,units,DAT-588,2023,1,1,2023-01,Right-sizing Opportunity,25.16
1/1/2023,AWS,RDS,Data Science,Data Lake,eu-west-1,Production,583.59,1539,units,DAT-973,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Data Science,Data Lake,us-west-2,Development,22.96,114800149.9,requests,DAT-919,2023,1,1,2023-01,Right-sizing Opportunity,7.58
1/1/2023,AWS,Lambda,Data Science,Data Lake,ap-southeast-1,Production,54.59,272934263.6,requests,DAT-546,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Data Science,Data Lake,us-east-1,Production,109.66,324.68,units,DAT-917,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Data Science,Data Lake,us-west-2,Production,79.18,331.27,units,DAT-230,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Data Science,Data Lake,ap-southeast-1,Testing,18.09,60.28,units,DAT-778,2023,1,1,2023-01,Right-sizing Opportunity,6.79
1/1/2023,AWS,EBS,Data Science,Data Lake,us-east-1,Staging,70.39,920.22,units,DAT-572,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Data Science,Data Lake,us-west-2,Production,376.62,2210.18,units,DAT-565,2023,1,1,2023-01,Reserved Instance Candidate,144.34
1/1/2023,AWS,EBS,Data Science,Data Lake,eu-west-1,Development,48.49,247.7,units,DAT-870,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Data Science,Data Lake,us-east-1,Development,32.47,135.02,units,DAT-867,2023,1,1,2023-01,Right-sizing Opportunity,6.52
1/1/2023,AWS,Data Transfer,Data Science,Data Lake,us-west-2,Testing,33.53,184.76,units,DAT-765,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Data Science,Data Lake,eu-west-1,Testing,17,571.9,units,DAT-131,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Data Science,Data Lake,us-east-1,Production,263.01,3106.35,units,DAT-229,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Data Science,Data Lake,us-west-2,Production,317.33,668.9,units,DAT-576,2023,1,1,2023-01,Reserved Instance Candidate,108.98
1/1/2023,AWS,EC2,Data Science,Experimentation,us-east-1,Staging,167.46,1674.61,instance-hours,DAT-865,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Data Science,Experimentation,ap-southeast-1,Production,1137.84,11378.43,instance-hours,DAT-692,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Data Science,Experimentation,us-east-1,Production,226.83,9862.28,GB-month,DAT-793,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Data Science,Experimentation,eu-west-1,Testing,37.4,1626.14,GB-month,DAT-303,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Data Science,Experimentation,ap-southeast-1,Staging,48.68,2116.72,GB-month,DAT-742,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Data Science,Experimentation,us-east-1,Staging,138.33,876.77,units,DAT-800,2023,1,1,2023-01,Potential Waste,92.26
1/1/2023,AWS,RDS,Data Science,Experimentation,eu-west-1,Testing,93,236.35,units,DAT-455,2023,1,1,2023-01,Right-sizing Opportunity,33.72
1/1/2023,AWS,RDS,Data Science,Experimentation,ap-southeast-1,Staging,180.18,4114.85,units,DAT-763,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Data Science,Experimentation,us-east-1,Development,31.63,158153338.9,requests,DAT-942,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Data Science,Experimentation,us-west-2,Production,163.67,818353860.2,requests,DAT-470,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Data Science,Experimentation,us-west-2,Development,17.9,37.05,units,DAT-376,2023,1,1,2023-01,Right-sizing Opportunity,5.86
1/1/2023,AWS,EBS,Data Science,Experimentation,us-west-2,Development,60.17,200.36,units,DAT-430,2023,1,1,2023-01,Right-sizing Opportunity,20.46
1/1/2023,AWS,Data Transfer,Data Science,Experimentation,us-east-1,Development,39.1,301.92,units,DAT-575,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Data Science,Experimentation,us-west-2,Staging,42.35,242.25,units,DAT-606,2023,1,1,2023-01,Potential Waste,28.05
1/1/2023,AWS,Data Transfer,Data Science,Experimentation,ap-southeast-1,Production,280.26,699.02,units,DAT-448,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Data Science,Experimentation,us-east-1,Staging,82.62,187.24,units,DAT-669,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Data Science,Experimentation,us-west-2,Testing,28.74,553.29,units,DAT-837,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Data Science,Experimentation,eu-west-1,Staging,85.38,668.28,units,DAT-587,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Product,Product Analytics,us-east-1,Development,152.58,1525.75,instance-hours,PRO-195,2023,1,1,2023-01,Right-sizing Opportunity,51.27
1/1/2023,AWS,EC2,Product,Product Analytics,us-west-2,Production,1332.7,13326.98,instance-hours,PRO-349,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Product,Product Analytics,eu-west-1,Staging,435.86,4358.57,instance-hours,PRO-584,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Product,Product Analytics,ap-southeast-1,Production,812.69,8126.86,instance-hours,PRO-863,2023,1,1,2023-01,Reserved Instance Candidate,276.48
1/1/2023,AWS,S3,Product,Product Analytics,us-east-1,Production,257.17,11181.33,GB-month,PRO-564,2023,1,1,2023-01,Reserved Instance Candidate,80.67
1/1/2023,AWS,S3,Product,Product Analytics,us-west-2,Production,233.43,10148.96,GB-month,PRO-223,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Product,Product Analytics,ap-southeast-1,Development,50.22,2183.27,GB-month,PRO-880,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Product,Product Analytics,us-west-2,Development,147.72,1015.36,units,PRO-703,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Product,Product Analytics,ap-southeast-1,Production,553.84,9346.2,units,PRO-298,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Product,Product Analytics,us-east-1,Production,100.41,502050852.8,requests,PRO-409,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Product,Product Analytics,us-west-2,Staging,27.78,138904380.4,requests,PRO-380,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Product,Product Analytics,eu-west-1,Production,96.84,484204543.1,requests,PRO-399,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Product,Product Analytics,us-east-1,Development,21.15,84.41,units,PRO-993,2023,1,1,2023-01,Right-sizing Opportunity,4.41
1/1/2023,AWS,CloudFront,Product,Product Analytics,us-west-2,Production,117.01,478.42,units,PRO-448,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Product,Product Analytics,eu-west-1,Production,115.27,244.67,units,PRO-589,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Product,Product Analytics,ap-southeast-1,Production,130.11,518.45,units,PRO-690,2023,1,1,2023-01,Reserved Instance Candidate,45.56
1/1/2023,AWS,EBS,Product,Product Analytics,us-west-2,Production,288.25,1008.59,units,PRO-411,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Product,Product Analytics,eu-west-1,Production,371.08,1309.12,units,PRO-526,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Product,Product Analytics,us-west-2,Staging,49.63,215.06,units,PRO-553,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Product,Product Analytics,eu-west-1,Staging,97.9,444.73,units,PRO-682,2023,1,1,2023-01,Reserved Instance Candidate,30.95
1/1/2023,AWS,ElastiCache,Product,Product Analytics,ap-southeast-1,Production,283.04,848.42,units,PRO-260,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Product,User Research,us-east-1,Staging,240.27,2402.66,instance-hours,PRO-260,2023,1,1,2023-01,Optimized,0
